variable_2008,description_2008,topic_2008,variable_2014,description_2014,topic_2014,,
*** NO MATCH AVAILABLE ***,,,TJB1_WKHRS1,Hours worked at job 1 in week 1.,Labor Force,0,36
*** NO MATCH AVAILABLE ***,,,TJB1_WKHRS2,Hours worked at job 1 in week 2.,Labor Force,0,
*** NO MATCH AVAILABLE ***,,,TJB1_WKHRS3,Hours worked at job 1 in week 3.,Labor Force,0,
*** NO MATCH AVAILABLE ***,,,TJB1_WKHRS4,Hours worked at job 1 in week 4.,Labor Force,0,
*** NO MATCH AVAILABLE ***,,,TJB1_WKHRS5,Hours worked at job 1 in week 5.,Labor Force,0,
*** NO MATCH AVAILABLE ***,,,TJB2_WKHRS1,Hours worked at job 2 in week 1.,Labor Force,0,
*** NO MATCH AVAILABLE ***,,,TJB2_WKHRS2,Hours worked at job 2 in week 2.,Labor Force,0,
*** NO MATCH AVAILABLE ***,,,TJB2_WKHRS3,Hours worked at job 2 in week 3.,Labor Force,0,
*** NO MATCH AVAILABLE ***,,,TJB2_WKHRS4,Hours worked at job 2 in week 4.,Labor Force,0,
*** NO MATCH AVAILABLE ***,,,TJB2_WKHRS5,Hours worked at job 2 in week 5.,Labor Force,0,
*** NO MATCH AVAILABLE ***,,,TWKHRS1,Number of hours worked at all jobs in week 1.,Labor Force,1,
*** NO MATCH AVAILABLE ***,,,TWKHRS2,Number of hours worked at all jobs in week 2.,Labor Force,1,
*** NO MATCH AVAILABLE ***,,,TWKHRS3,Number of hours worked at all jobs in week 3.,Labor Force,1,
*** NO MATCH AVAILABLE ***,,,TWKHRS4,Number of hours worked at all jobs in week 4.,Labor Force,1,
*** NO MATCH AVAILABLE ***,,,TWKHRS5,Number of hours worked at all jobs in week 5.,Labor Force,1,
E1LVLMPS,Asks if respondent can get lump-sum,Retirement Expectations and Pension Plan Coverage,*** NO MATCH AVAILABLE ***,,,#N/A,
EA1OWED,Money owed for 1st vehicle,Real Estate,EVEH1DEBT,"Whether any money was owed on the first vehicle as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets,0,
EA1OWN1,First owner of first vehicle,Real Estate,EVEH1OWNER1,"First owner of the first car, truck, or van as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets,0,
EA1OWN2,Second owner of first vehicle,Real Estate,EVEH1OWNER2,"Second owner of the first car, truck, or van as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets,0,
EA1USE,Primary use of vehicle,Real Estate,EVEH1USE,"Whether the primary use of the first vehicle was for either: business purposes or transportation of a disabled person [this is household-level data, therefore this value is copied to every member of the household].",Assets,0,
EA2OWED,Money owed on the 2nd vehicle,Real Estate,EVEH2DEBT,"Whether any money was owed on the second vehicle as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets,0,
EA2OWN1,First owner of second vehicle,Real Estate,EVEH2OWNER1,"First owner of the second car, truck, or van as of the last day of the reference period [this is household-level data, therefore this value is copied to every member of the household].",Assets,0,
