Used,variable_2014,description_2014,topic_2014,variable_2008,description_2008,topic_2008,Used
,EAF1,September 2001 to present,Demographics,*** NO MATCH AVAILABLE ***,,,
,EAF2,August 1990 to August 2001,Demographics,*** NO MATCH AVAILABLE ***,,,
,EAF3,May 1975 to July 1990,Demographics,*** NO MATCH AVAILABLE ***,,,
,EAF4,Vietnam Era,Demographics,*** NO MATCH AVAILABLE ***,,,
,EAF5,February 1955 to July 1964,Demographics,*** NO MATCH AVAILABLE ***,,,
,EAF6,Korean War,Demographics,*** NO MATCH AVAILABLE ***,,,
,EAF7,January 1947 to June 1950,Demographics,*** NO MATCH AVAILABLE ***,,,
,EAF8,World War II,Demographics,*** NO MATCH AVAILABLE ***,,,
,EAF9,November 1941 or earlier,Demographics,*** NO MATCH AVAILABLE ***,,,
,EAFNOW,Is this person currently on active duty in the U.S. Armed Forces?,Demographics,EAFNOW,Current Armed Forces status,Armed Forces,
,EAF_HHLD,Did anyone in this household ever serve on active duty in the U.S. Armed Forces?,Demographics,*** NO MATCH AVAILABLE ***,,,
,EALIANY,"Did ... receive payments from a spouse, such as alimony, at any time during the reference period?",Programs,EALIYN,Receipt of alimony payments (ISS Code 29),General Income,
,EALIMNYN,Months when alimony payments were received.,Programs,*** NO MATCH AVAILABLE ***,,,
,EALLTH,Has ... lost all of his/her permanent adult teeth?,Health Care,EALLTH,Report of complete adult tooth loss,Medical Expenses,
,EAMBULAT,Does ... have serious difficulty walking or climbing stairs?,Disability,EDIS4,Ambulatory difficulty,Medical Expenses,
,EANYKID,Does ... have any children under 21 living somewhere else?,Programs,*** NO MATCH AVAILABLE ***,,,
,EAWBCRACK,Are there cracks in the ceiling or walls?,Adult and Child Well Being,EAHCRAC,Problem with holes or cracks in wall or ceiling,Adult Well Being,
,EAWBGAS,Was ... unable to pay the utility bills?,Adult and Child Well Being,EABGAS,"Did not pay gas, oil, or electricity bills",Adult Well Being,
,EAWBHOLES,Are there holes in the floor?,Adult and Child Well Being,EAHHOLE,Problem with holes in the floor,Adult Well Being,
1,EMPF,Do you have multiple partner fertility?,Fertility History,*** NO MATCH AVAILABLE ***,,,1
,EAWBPESTS,Is there a problem with pests?,Adult and Child Well Being,EAHPEST,Problem with pests,Adult Well Being,
,EAWBPLUMB,Are there plumbing problems?,Adult and Child Well Being,EAHPLUM,Problem with plumbing that doesn't work,Adult Well Being,
1,EPAR_SCRNR,"Shows whether a respondent is a parent (biological, step, or adoptive)",Fertility History,*** NO MATCH AVAILABLE ***,,,1
